"","","","","","","",""
"CEC 102","Жалпы ағылшын тілі (А2 деңгейі)","6","6","82","P","","Өтті"
"CSS 105","Бағдарламалау негіздері","4","5","58","D+","1.33","Қанағаттанарлық"
"MAT 151","Сызыкты алгебра","3","5","93","A-","3.67","Өте жақсы"
"MAT 153","Компьютер ғылымдарына арналған математика 1","3","5","58","D+","1.33","Қанағаттанарлық"
"MDE 135","Түрік тілі 1 (B1 деңгейі)","2","3","95","A","4","Өте жақсы"
"MDE 141","Дене шынықтыру 1","1","2","90","A-","3.67","Өте жақсы"
"MDE 171","Қазақстанның қазіргі заман тарихы","3","5","95","A","4","Өте жақсы"
"","","22","31","SA : 79.4","GA : 79.4","SPA : 2.84","GPA : 2.84"
"2020 - 2021. 2","","","","","","",""
"CSS 108","Бағдарламалау технологиялары және оқу тәжірибесі","3","5","0","AW","","Academic Withdraw"
"INF 106","Ақпараттық-коммуникациялық технологиялар","3","5","76","B-","2.67","Жақсы"
"MAT 154","Компьютер ғылымдарына арналған математика 2","3","5","63","C-","1.67","Қанағаттанарлық"
"MAT 156","Дискретті математика","3","5","66","C","2","Қанағаттанарлық"
"MDE 103","Шетел тілі 1 (ағылшын тілі - B1 деңгейі)","3","5","73","C+","2.33","Жақсы"
"MDE 136","Түрік тілі 2 (B1 деңгейі)","2","3","78","B-","2.67","Жақсы"
"MDE 142","Дене шынықтыру 2","1","2","95","A","4","Өте жақсы"
"MDE 144","Дене шынықтыру 4","1","2","95","A","4","Өте жақсы"
"","","19","32","SA : 62.63","GA : 69.98","SPA : 2.11","GPA : 2.43"
"2020 - 2021. 3","","","","","","",""
"CSS 108","Бағдарламалау технологиялары және оқу тәжірибесі","3","5","83","B","3","Жақсы"
"","","3","5","SA : 83","GA : 77.26","SPA : 3","GPA : 2.69"
"2021 - 2022. 1","","","","","","",""
"CSS 152","Физика 1","3","5","0","FX","0","Қанағаттанарлықсыз"
"CSS 215","Алгоритмдерге кіріспе","3","5","83","B","3","Жақсы"
"INF 202","АЖ-дегі деректер қоры 3","3","5","76","B-","2.67","Жақсы"
"INF 231","Веб бағдарламалау: фронт-энд","3","5","100","A","4","Өте жақсы"
"MDE 113","Қазақ тілі 1 (B1 деңгейі)","3","5","81","B","3","Жақсы"
"MDE 137","Түрік тілі 3 (B2 деңгейі)","2","3","83","B","3","Жақсы"
"MDE 143","Дене шынықтыру 3","1","2","95","A","4","Өте жақсы"
"MDE 191","Шетел тілі 2 (ағылшын тілі - B1+ деңгейі)","3","5","78","B-","2.67","Жақсы"
"","","21","35","SA : 72.26","GA : 75.36","SPA : 2.68","GPA : 2.69"
"2021 - 2022. 2","","","","","","",""
"CSS 220","Терендетілген алгоритмдер","3","5","86","B+","3.33","Жақсы"
"INF 232","Веб бағдарламалау: бэк-энд","4","5","75","B-","2.67","Жақсы"
"INF 305","АЖ-дегі деректер қоры 2","3","5","66","C","2","Қанағаттанарлық"
"INF 313","Компьютерлік желілері 1","3","5","0","F","0","Қанағаттанарлықсыз"
"MDE 114","Қазақ тілі 2 (B1 деңгейі)","3","5","54","D","1","Қанағаттанарлық"
"MDE 138","Түрік тілі 4 (B2 деңгейі)","2","3","72","C+","2.33","Жақсы"
"","","18","28","SA : 57.89","GA : 71.28","SPA : 1.86","GPA : 2.49"
"2022 - 2023. 1","","","","","","",""
"CSS 216","Мобильді бағдарламалау","3","5","53","D","1","Қанағаттанарлық"
"CSS 380","Индустриалдық практика 1","1","1","50","P","","Өтті"
"INF 318","Тестілеуге кіріспе","3","5","60","C-","1.67","Қанағаттанарлық"
"INF 324","Компьютерлік көру","3","5","52","D","1","Қанағаттанарлық"
"INF 345","DevOps негіздері","3","5","65","C","2","Қанағаттанарлық"
"MDE 151","Әлеуметтік-саяси білім модулі (Саясаттану)","1","2","0","F","0","Қанағаттанарлықсыз"
"MDE 152","Әлеуметтік-саяси білім модулі (Әлеуметтану)","1","2","100","A","4","Өте жақсы"
"MDE 161","Экономика","3","5","50","D","1","Қанағаттанарлық"
"","","18","30","SA : 55.17","GA : 68.15","SPA : 1.43","GPA : 2.28"
"2022 - 2023. 2","","","","","","",""
"CSS 381","Индустриалды практика","1","1","50","D","1","Қанағаттанарлық"
"CSS 411","JAVA EE қолдану арқылы тереңдетілген бағдарламалау","3","5","73","C+","2.33","Жақсы"
"INF 368","Go бағдарламалау тілі","3","5","100","A","4","Өте жақсы"
"INF 405","Компьютерлік ғылымдары саласындағы жеке даму","3","5","74","C+","2.33","Жақсы"
"MAT 251","Ықтималдықтар теориясы және математикалық статистика","4","5","51","D","1","Қанағаттанарлық"
"MDE 153","Әлеуметтік-саяси білім модулі (Мәдениеттану)","1","2","95","A","4","Өте жақсы"
"MDE 154","Әлеуметтік-саяси білім модулі (Психология)","1","2","96","A","4","Өте жақсы"
"MDE 172","Философия","3","5","85","B+","3.33","Жақсы"
"","","19","30","SA : 78.23","GA : 69.84","SPA : 2.73","GPA : 2.36"
"2023 - 2024. 1","","","","","","",""
"CSS 410","Зерттеу әдістері мен құралдары","3","5","24","IP","","Орындалуда"
"CSS 450","Индустриалдық проект (Кіріспе)","3","5","32","IP","","Орындалуда"
"CSS 451","Индустриальдық проект (Әзірлеу)","3","5","32","IP","","Орындалуда"
"CSS 452","Индустриалдық проект (Құрастыру)","3","5","32","IP","","Орындалуда"
"CSS 453","Индустриалдық проект (Тестілеу)","3","5","32","IP","","Орындалуда"
"CSS 480","Кәсіптік практика 3","2","3","","IP","","Орындалуда"
"CSS 481","Кәсіптік практика 3","1","2","","IP","","Орындалуда"
"","","18","30","SA : 0","GA : 69.84","SPA : 0","GPA : 2.36"
"Жалпы ішкі кредит саны : 117","","Жалпы кредит/ECTS саны : 186","","Жалпы орталама баға (%) : 69.84","","",""
"","","","","","","",""
