2020 - 2021. 1,,,,,,,
CEC 101,General English (A1 level),6,6,91,P,,Pass
CSS 105,Fundamentals of Programming,4,5,98,A,4,Excellent
MAT 151,Linear Algebra,3,5,86,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,80,B,3,Good
MDE 131,Turkish Language 1 (А1 level),2,3,92,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,97,A,4,Excellent
,,22,31,SA : 90.84,GA : 90.84,SPA : 3.63,GPA : 3.63
2020 - 2021. 2,,,,,,,
CEC 102,General English (A2 level),6,6,81,P,,Pass
CSS 108,Programming Technologies and Educational Practice,3,5,70,C+,2.33,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,91,A-,3.67,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,87,B+,3.33,Good
MAT 156,Discrete Mathematics,3,5,94,A-,3.67,Excellent
MDE 132,Turkish Language 2 (А1 level),2,3,87,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,21,31,SA : 86.44,GA : 88.64,SPA : 3.32,GPA : 3.47
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,82,B,3,Good
CSS 215,Introduction to Algorithms,3,5,73,C+,2.33,Good
INF 202,Database Management Systems 1,3,5,97,A,4,Excellent
INF 231,Web programming: front end,3,5,94,A-,3.67,Excellent
MDE 113,Kazakh Language 1 (B1 level),3,5,96,A,4,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,93,A-,3.67,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,97,A,4,Excellent
,,21,35,SA : 90.4,GA : 89.36,SPA : 3.54,GPA : 3.5
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,82,B,3,Good
INF 232,Web programming: back end,4,5,100,A,4,Excellent
INF 305,Database Management Systems 2,3,5,80,B,3,Good
INF 313,Computer networks 1,3,5,81,B,3,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,94,A-,3.67,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,89,B+,3.33,Good
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,95,A,4,Excellent
,,22,35,SA : 89.06,GA : 89.28,SPA : 3.47,GPA : 3.49
2022 - 2023. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 318,Introduction to Testing,3,5,84,B,3,Good
INF 328,3D modeling,3,5,85,B+,3.33,Good
INF 429,IT Audit and controls,3,5,88,B+,3.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,94,A-,3.67,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,88,B+,3.33,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,90,A-,3.67,Excellent
MDE 162,Law,3,5,100,A,4,Excellent
,,19,30,SA : 90.03,GA : 89.42,SPA : 3.47,GPA : 3.49
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
INF 370,User Interface Design,3,5,96,A,4,Excellent
INF 382,Business Process Modelling,3,5,91,A-,3.67,Excellent
INF 392,Blockchain technology,3,5,90,A-,3.67,Excellent
INF 405,Personal Development in Computer Science,3,5,96,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,94,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,93,A-,3.67,Excellent
,,18,30,SA : 93.67,GA : 90.13,SPA : 3.81,GPA : 3.54
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,50,IP,,In progress
CSS 465,Project Management,3,5,,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 360,IT-law,3,5,60,IP,,In progress
INF 415,Leadership in IT,3,5,56,IP,,In progress
INF 431,Accounting Information Systems,3,5,,IP,,In progress
,,18,30,SA : 0,GA : 90.13,SPA : 0,GPA : 3.54